source_filename,location,material_id,previous_month,new_month,previous_closing,new_opening
location-01.xlsx,LOC-01,MAT-001,2026-09-01,2026-10-01,126,126
location-01.xlsx,LOC-01,MAT-002,2026-09-01,2026-10-01,128,128
location-01.xlsx,LOC-01,MAT-003,2026-09-01,2026-10-01,130,130
location-01.xlsx,LOC-01,MAT-004,2026-09-01,2026-10-01,132,132
location-01.xlsx,LOC-01,MAT-005,2026-09-01,2026-10-01,134,134
location-01.xlsx,LOC-01,MAT-006,2026-09-01,2026-10-01,136,136
location-01.xlsx,LOC-01,MAT-007,2026-09-01,2026-10-01,138,138
location-01.xlsx,LOC-01,MAT-008,2026-09-01,2026-10-01,140,140
location-02.xlsx,LOC-02,MAT-001,2026-09-01,2026-10-01,135,135
location-02.xlsx,LOC-02,MAT-002,2026-09-01,2026-10-01,137,137
location-02.xlsx,LOC-02,MAT-003,2026-09-01,2026-10-01,139,139
location-02.xlsx,LOC-02,MAT-004,2026-09-01,2026-10-01,141,141
location-02.xlsx,LOC-02,MAT-005,2026-09-01,2026-10-01,143,143
location-02.xlsx,LOC-02,MAT-006,2026-09-01,2026-10-01,145,145
location-02.xlsx,LOC-02,MAT-007,2026-09-01,2026-10-01,147,147
location-02.xlsx,LOC-02,MAT-008,2026-09-01,2026-10-01,149,149
location-03.xlsx,LOC-03,MAT-001,2026-09-01,2026-10-01,144,144
location-03.xlsx,LOC-03,MAT-002,2026-09-01,2026-10-01,146,146
location-03.xlsx,LOC-03,MAT-003,2026-09-01,2026-10-01,148,148
location-03.xlsx,LOC-03,MAT-004,2026-09-01,2026-10-01,150,150
location-03.xlsx,LOC-03,MAT-005,2026-09-01,2026-10-01,152,152
location-03.xlsx,LOC-03,MAT-006,2026-09-01,2026-10-01,154,154
location-03.xlsx,LOC-03,MAT-007,2026-09-01,2026-10-01,156,156
location-03.xlsx,LOC-03,MAT-008,2026-09-01,2026-10-01,158,158
location-04.xlsx,LOC-04,MAT-001,2026-09-01,2026-10-01,153,153
location-04.xlsx,LOC-04,MAT-002,2026-09-01,2026-10-01,155,155
location-04.xlsx,LOC-04,MAT-003,2026-09-01,2026-10-01,157,157
location-04.xlsx,LOC-04,MAT-004,2026-09-01,2026-10-01,159,159
location-04.xlsx,LOC-04,MAT-005,2026-09-01,2026-10-01,161,161
location-04.xlsx,LOC-04,MAT-006,2026-09-01,2026-10-01,163,163
location-04.xlsx,LOC-04,MAT-007,2026-09-01,2026-10-01,165,165
location-04.xlsx,LOC-04,MAT-008,2026-09-01,2026-10-01,167,167
location-05.xlsx,LOC-05,MAT-001,2026-09-01,2026-10-01,162,162
location-05.xlsx,LOC-05,MAT-002,2026-09-01,2026-10-01,164,164
location-05.xlsx,LOC-05,MAT-003,2026-09-01,2026-10-01,166,166
location-05.xlsx,LOC-05,MAT-004,2026-09-01,2026-10-01,168,168
location-05.xlsx,LOC-05,MAT-005,2026-09-01,2026-10-01,170,170
location-05.xlsx,LOC-05,MAT-006,2026-09-01,2026-10-01,172,172
location-05.xlsx,LOC-05,MAT-007,2026-09-01,2026-10-01,174,174
location-05.xlsx,LOC-05,MAT-008,2026-09-01,2026-10-01,176,176
location-06.xlsx,LOC-06,MAT-001,2026-09-01,2026-10-01,171,171
location-06.xlsx,LOC-06,MAT-002,2026-09-01,2026-10-01,173,173
location-06.xlsx,LOC-06,MAT-003,2026-09-01,2026-10-01,175,175
location-06.xlsx,LOC-06,MAT-004,2026-09-01,2026-10-01,177,177
location-06.xlsx,LOC-06,MAT-005,2026-09-01,2026-10-01,179,179
location-06.xlsx,LOC-06,MAT-006,2026-09-01,2026-10-01,181,181
location-06.xlsx,LOC-06,MAT-007,2026-09-01,2026-10-01,183,183
location-06.xlsx,LOC-06,MAT-008,2026-09-01,2026-10-01,185,185
location-07.xlsx,LOC-07,MAT-001,2026-09-01,2026-10-01,180,180
location-07.xlsx,LOC-07,MAT-002,2026-09-01,2026-10-01,182,182
location-07.xlsx,LOC-07,MAT-003,2026-09-01,2026-10-01,184,184
location-07.xlsx,LOC-07,MAT-004,2026-09-01,2026-10-01,186,186
location-07.xlsx,LOC-07,MAT-005,2026-09-01,2026-10-01,188,188
location-07.xlsx,LOC-07,MAT-006,2026-09-01,2026-10-01,190,190
location-07.xlsx,LOC-07,MAT-007,2026-09-01,2026-10-01,192,192
location-07.xlsx,LOC-07,MAT-008,2026-09-01,2026-10-01,194,194
location-08.xlsx,LOC-08,MAT-001,2026-09-01,2026-10-01,189,189
location-08.xlsx,LOC-08,MAT-002,2026-09-01,2026-10-01,191,191
location-08.xlsx,LOC-08,MAT-003,2026-09-01,2026-10-01,193,193
location-08.xlsx,LOC-08,MAT-004,2026-09-01,2026-10-01,195,195
location-08.xlsx,LOC-08,MAT-005,2026-09-01,2026-10-01,197,197
location-08.xlsx,LOC-08,MAT-006,2026-09-01,2026-10-01,199,199
location-08.xlsx,LOC-08,MAT-007,2026-09-01,2026-10-01,201,201
location-08.xlsx,LOC-08,MAT-008,2026-09-01,2026-10-01,203,203
location-09.xlsx,LOC-09,MAT-001,2026-09-01,2026-10-01,198,198
